address|email|id|image|lat|lon|manager|Name|phone|weekend|working|city
Маршал Тито бр. 107, Берово||4285|https://www.stb.com.mk/media/1019/berovobranch11018_berovo_atm.jpg|41.7077|22.8564||Филијала берово||||Берово
Васко Карангелески бб Реонско пазариште, Битола||4250|https://www.stb.com.mk/media/1020/bitola-reonskopazariste52248_bitola_vero_atm.jpeg|41.027|21.3138||Битола - реонско пазариште||||Битола
ул. Партизанска бб, Битола||4246|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.0246|21.3193||Битола партизанска||||Битола
ул. Карпош, Битола||4247|https://www.stb.com.mk/media/1118/vasidoraprilepno_image.jpg|41.027176|21.340803||Битола - св.тома||||Битола
Широк сокак 62, Битола||4249|https://www.stb.com.mk/media/1021/bitolabranch33789_bitola_shiroksokak_atm.jpeg|41.0273|21.3364||Филијала битола||||Битола
Маршал Тито бр. 85, Богданци||4275|https://www.stb.com.mk/media/1079/no_image.jpg|41.2034|22.5756||Филијала богданци||||Богданци
6 Ноември бр. 42, Валандово||4281|https://www.stb.com.mk/media/1117/valandovobranch29817_valandovo_atm.jpg|41.3169|22.561||Филијала валандово||||Валандово
Благој Ѓорев бр. 33, Велес||4316|https://www.stb.com.mk/media/1119/veles-blagojgjorev1f9ce921bb6e41827efe0db50939c6eb.jpg|41.7172|21.7749||Велес - благој ѓорев||||Велес
Благој Ѓорев бб, Велес||4315|https://www.stb.com.mk/media/1120/veles-novanaselba42ce39d5b281f98d4ac211adcb5a70a9.jpg|41.7153|21.7689||Велес - нова населба||||Велес
ул. Благој Ѓорев бр.166, Велес||4318|https://www.stb.com.mk/media/1079/no_image.jpg|41.7145|21.7658||Жито дооел||||Велес
8-ми Септември бр. 67, Велес||4317|https://www.stb.com.mk/media/1121/velesbranch20d7b7217d925f9da386dfdfd0a1764c.jpg|41.7148|21.784||Филијала велес||||Велес
'Оска - Пром' - Страшо Пинџур бр.3, Виница||4302|https://www.stb.com.mk/media/1125/vinica-oskaprom46465fc223b4e2c01ca71b3df2e60a0d.jpg|41.8862|22.5119||Виница - оска пром||||Виница
Маршал Тито бр. 6, Виница||4301|https://www.stb.com.mk/media/1126/vinicabranch26267d7b72dbf67ce2d3b109790a5214.jpg|41.8824|22.5049||Филијала виница ||||Виница
